충전소명,주소,ID,충전기 형태,충전기 용량,X,Y
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",2,AC완속(싱글),7,128.590068084,35.890114615
(RS)대구시_매천경로당,"대구 북구 매천로동17길 17(매천동, 경로당) 지상1층 주차장",1,AC완속(싱글),7,128.540159282,35.906033314
(RS)대구시_만촌3동행정복지센터,"대구 수성구 교학로2길 45(만촌동, 만촌3동 행정복지센터)",1,AC완속(싱글),7,128.650559809,35.855510511
(RS)대구시_만촌2동행정복지센터,"대구 수성구 무열로 12(만촌동, 만촌2동 행정복지센터)",1,AC완속(싱글),7,128.647223736,35.859854248
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",1,AC완속(싱글),7,128.561605631,35.844526952
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",3,AC완속(싱글),7,128.561605631,35.844526952
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",4,AC완속(싱글),7,128.561605631,35.844526952
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",2,AC완속(싱글),7,128.561605631,35.844526952
(RS)대구시_두류3동,"대구 달서구 야외음악당로39길 24(두류동, 두류3동행정복지센터) 지상1층 주차장",1,3Mode,100,128.555476575,35.853703229
(RS)대구시_두류 1.2동 행정복지센터,"대구 달서구 두류길 141-8(두류동, 행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.567301227,35.857787913
(RS)대구시_동촌유원지,"대구 동구 효동로6길 73(효목동, 동촌유원지) 지상1층 주차장",1,3Mode,50,128.650721101,35.882336989
(RS)대구시_동촌동 행정복지센터,"대구 동구 동촌로11길 5(입석동, 동촌동행정복지센터) 동촌동 행정복지센터",1,3Mode,50,128.649637651,35.889946130
