충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_수성대학교 입구(우),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_수성대학교 입구(우),"대구 수성구 달구벌대로528길 15(만촌동, 수성대학교) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_수성구청,"대구 수성구 달구벌대로 2450(범어동, 수성구청) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_수성구청,"대구 수성구 달구벌대로 2450(범어동, 수성구청) 지상1층 주차장",01,3Mode,50
(RS)대구시_송현2동 행정복지센터,"대구 달서구 월배로83길 120-14(송현동, 송현2동행정복지센터) 송현2동 행정복지센터",01,3Mode,50
(RS)대구시_송현1동행정복지센터,"대구 달서구 중흥로8길 41(송현동, 송현1동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_송현1동2공영주차장,"대구광역시 달서구 송현동 1971-2(송현동, 공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",03,AC완속(싱글),7
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_성서체육공원주차장,"대구 달서구 성서공단로22길 25(월암동, 성서체육공원) 지상1층 주차장",04,AC완속(싱글),7
(RS)대구시_성서산업단지 공영주차장,대구 달서구 신당동 348-4(신당동) 지상1층 성서산업단지공영주차장,01,DC콤보(듀얼),100
(RS)대구시_성서2공영주차장,대구 달서구 장기동 180-64번지(장기동) 지상1층 실내주차장,01,3Mode,50
(RS)대구시_성서2공영주차장,대구 달서구 장기동 180-64번지(장기동) 지상1층 실내주차장,02,3Mode,50
(RS)대구시_성서2공영주차장,대구 달서구 장기동 180-64번지(장기동) 지상1층 실내주차장,03,AC완속(싱글),7
(RS)대구시_성서2공영주차장,대구 달서구 장기동 180-64번지(장기동) 지상1층 실내주차장,04,AC완속(싱글),7
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",02,AC완속(싱글),7
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",03,AC완속(싱글),7
(RS)대구시_성당두산위브,"대구 달서구 당산로 82(성당동, 성당두산위브) 성당두산위브",01,3Mode,50
(RS)대구시_성당동행정복지센터,"대구 달서구 야외음악당로 38(성당동, 성당동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_서부법원 노상주차장,"대구광역시 달서구 용산동 230-5(용산동, 노상주차장) 지상1층 주차장",04,AC완속(싱글),7
(RS)대구시_서부법원 노상주차장,"대구광역시 달서구 용산동 230-5(용산동, 노상주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_서부법원 노상주차장,"대구광역시 달서구 용산동 230-5(용산동, 노상주차장) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_서부법원 노상주차장,"대구광역시 달서구 용산동 230-5(용산동, 노상주차장) 지상1층 주차장",03,AC완속(싱글),7
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",02,AC완속(싱글),7
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",01,3Mode,50
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",04,AC완속(싱글),7
(RS)대구시_서문주차빌딩,"대구 중구 큰장로26길 45(대신동, 대신119안전센터) 지상3층 주차장",03,AC완속(싱글),7
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",05,3Mode,50
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",02,3Mode,50
(RS)대구시_서대구역(남측) 주차장,"대구 서구 와룡로 527(이현동, 서대구역) 서대구역 남측 주차장",01,3Mode,50
(RS)대구시_서대구산업단지근로자복지회관,"대구 서구 국채보상로 124(중리동, 서대구산업단지) 지상1층 주차장",01,3Mode,50
(RS)대구시_서구청,"대구 서구 국채보상로 257(평리동, 서구청) 지상1층 주차장",01,3Mode,50
(RS)대구시_서구국민체육센터,"대구 서구 문화로 72(이현동, 서구국민체육센터) 지상1층 주차장",02,3Mode,100
(RS)대구시_서구국민체육센터,"대구 서구 문화로 72(이현동, 서구국민체육센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_상호림공원,"대구 달서구 달서대로91길 115(호림동, 상호림공원) 상호림공원",01,3Mode,50
(RS)대구시_상중이동 행정복지센터,"대구 서구 당산로 343(중리동, 상중이동행정복지센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_상인2동행정복지센터,"대구 달서구 상원로 27(상인동, 상인2동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_상인1동행정복지센터,"대구 달서구 상인서로 40(상인동, 상인1동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_상리공원,"대구 서구 중리동 1177(중리동, 상리공원) 지상1층 양궁장쪽 주차장",01,3Mode,100
(RS)대구시_상동행정복지센터,"대구 수성구 들안로9길 56(상동, 상동 행정복지센터)",01,AC완속(싱글),7
(RS)대구시_삼덕동,"대구 중구 달구벌대로447길 72-11(삼덕동3가, 삼덕동주민센터)",01,AC완속(싱글),7
(RS)대구시_산격2동행정복지센터,"대구 북구 동북로 163(산격동, 산격대우아파트) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_산격1동,"대구 북구 연암로36길 6(산격동, 산격1동 행정복지센터)",01,3Mode,100
(RS)대구시_비슬산자연휴양림공영주차장,"대구 달성군 유가읍 휴양림길 236(용리, 비슬산 자연휴양림) 지상1층 주차장",01,3Mode,50
(RS)대구시_비산4동행정복지센터,"대구 서구 국채보상로78길 29-4(비산동, 비산4동 주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_비산1동행정복지센터,"대구 서구 북비산로65길 18(비산동, 비산1동 주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_불로봉무동행정복지센터,"대구 동구 팔공로25길 16(불로동, 불로봉무동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_북구청,대구 북구 옥산로 65(침산동) 지상1층 주차장,02,AC완속(싱글),7
(RS)대구시_북구청,대구 북구 옥산로 65(침산동) 지상1층 주차장,01,3Mode,50
(RS)대구시_봉덕3동 행정복지센터,"대구 남구 중앙대로22길 100(봉덕동, 봉덕3동 주민센터) 봉덕3동 행정복지센터",01,3Mode,50
